Vec #3602,	True Class: 2,	Predicted Class: 2,	Sum of LL: -12.969938297577764
Vec #3603,	True Class: 2,	Predicted Class: 2,	Sum of LL: -49.65400254161504
Vec #3604,	True Class: 1,	Predicted Class: 2,	Sum of LL: -45.780043330566556
Vec #3605,	True Class: 1,	Predicted Class: 2,	Sum of LL: -50.404964161056014
Vec #3606,	True Class: 1,	Predicted Class: 2,	Sum of LL: -60.22506044840354
Vec #3607,	True Class: 1,	Predicted Class: 2,	Sum of LL: -57.71579992100805
Vec #3608,	True Class: 1,	Predicted Class: 2,	Sum of LL: -53.47839649749284
Vec #3609,	True Class: 1,	Predicted Class: 2,	Sum of LL: -42.38133717524039
Vec #3610,	True Class: 2,	Predicted Class: 2,	Sum of LL: -72.89291631545312
Vec #3611,	True Class: 2,	Predicted Class: 2,	Sum of LL: -128.47136207867837
Vec #3612,	True Class: 2,	Predicted Class: 2,	Sum of LL: -131.22568363349518
Vec #3613,	True Class: 2,	Predicted Class: 2,	Sum of LL: -156.54847450087414
Vec #3614,	True Class: 1,	Predicted Class: 2,	Sum of LL: -150.92616453081305
Vec #3615,	True Class: 2,	Predicted Class: 2,	Sum of LL: -171.95432573850286
Vec #3616,	True Class: 2,	Predicted Class: 2,	Sum of LL: -189.65499577917382
Vec #3617,	True Class: 2,	Predicted Class: 2,	Sum of LL: -208.16291674285094
Vec #3618,	True Class: 2,	Predicted Class: 2,	Sum of LL: -229.56168340160804
Vec #3619,	True Class: 2,	Predicted Class: 2,	Sum of LL: -274.9553724508386
Vec #3620,	True Class: 1,	Predicted Class: 2,	Sum of LL: -270.2078863506376
Vec #3621,	True Class: 1,	Predicted Class: 2,	Sum of LL: -265.23544619514195
Vec #3622,	True Class: 2,	Predicted Class: 2,	Sum of LL: -295.65049471266497
Vec #3623,	True Class: 2,	Predicted Class: 2,	Sum of LL: -387.937272930745
Vec #3624,	True Class: 1,	Predicted Class: 2,	Sum of LL: -420.5359514367724
Vec #3625,	True Class: 2,	Predicted Class: 2,	Sum of LL: -446.2151080260439
Vec #3626,	True Class: 2,	Predicted Class: 2,	Sum of LL: -495.5913481616767
Vec #3627,	True Class: 2,	Predicted Class: 2,	Sum of LL: -519.6130883219447
Vec #3628,	True Class: 2,	Predicted Class: 2,	Sum of LL: -542.0657664027177
Vec #3629,	True Class: 2,	Predicted Class: 2,	Sum of LL: -573.1999467904241
Vec #3630,	True Class: 2,	Predicted Class: 2,	Sum of LL: -603.1281098966749
Vec #3631,	True Class: 2,	Predicted Class: 2,	Sum of LL: -660.7873646568843
Vec #3632,	True Class: 2,	Predicted Class: 2,	Sum of LL: -694.356090789614
Vec #3633,	True Class: 1,	Predicted Class: 2,	Sum of LL: -703.6385362918228
Vec #3634,	True Class: 2,	Predicted Class: 2,	Sum of LL: -767.5473298161064
Vec #3635,	True Class: 2,	Predicted Class: 2,	Sum of LL: -809.6490376726973
Vec #3636,	True Class: 1,	Predicted Class: 2,	Sum of LL: -806.3679176640443
Vec #3637,	True Class: 2,	Predicted Class: 2,	Sum of LL: -850.1373070160245
Vec #3638,	True Class: 2,	Predicted Class: 2,	Sum of LL: -890.2893750184651
Vec #3639,	True Class: 2,	Predicted Class: 2,	Sum of LL: -919.910322199363
Vec #3640,	True Class: 2,	Predicted Class: 2,	Sum of LL: -946.191844701519
Vec #3641,	True Class: 2,	Predicted Class: 2,	Sum of LL: -968.880671757649
Vec #3642,	True Class: 2,	Predicted Class: 2,	Sum of LL: -979.6234365934947
Vec #3643,	True Class: 1,	Predicted Class: 2,	Sum of LL: -975.0600779139978
Vec #3644,	True Class: 2,	Predicted Class: 2,	Sum of LL: -992.3153464221701
Vec #3645,	True Class: 1,	Predicted Class: 2,	Sum of LL: -1000.9173374274664
Vec #3646,	True Class: 1,	Predicted Class: 2,	Sum of LL: -973.0788453329594
Vec #3647,	True Class: 1,	Predicted Class: 2,	Sum of LL: -956.9610774768362
Vec #3648,	True Class: 1,	Predicted Class: 2,	Sum of LL: -954.6029099656216
Vec #3649,	True Class: 2,	Predicted Class: 2,	Sum of LL: -998.487860683471
Vec #3650,	True Class: 2,	Predicted Class: 2,	Sum of LL: -1017.6333216206675
